Primary Proof Obligations
c files             stmt     local       api  contract      open  violated     total
uint-overflow                       19         3       115         0       115         0       252
uint-underflow                       0        29        13         0        17         8        59
unsigned-to-signed-cast             15         0        28         0        16         0        59
unsigned-to-unsigned-cast            0         0         0         0         1         0         1
upper-bound                          0         0       157         0        74         0       231
valid-mem                            0         0       171         0       110         0       281
value-constraint                     9         3         2         0       164         0       178
--------------------------------------------------------------------------------------------------
total                              430       257      1971        36      1181        10      3875
percent                          11.10      6.63     50.86      0.93     30.48      0.26
